image_id,component_count,relation_count
hiero_0000,1,0
hiero_0001,1,0
hiero_0002,1,0
hiero_0003,1,0
hiero_0004,1,0
hiero_0005,1,0
hiero_0006,1,0
hiero_0007,2,1
hiero_0008,2,1
hiero_0009,1,0
hiero_0010,1,0
hiero_0011,1,0
hiero_0012,1,0
hiero_0013,1,0
hiero_0014,1,0
hiero_0015,1,0
hiero_0016,1,0
hiero_0017,1,0
hiero_0018,1,0
hiero_0019,1,0
hiero_0020,1,0
hiero_0021,1,0
hiero_0022,1,0
hiero_0023,1,0
hiero_0024,1,0
hiero_0025,1,0
hiero_0026,1,0
hiero_0027,1,0
hiero_0028,1,0
hiero_0029,1,0
hiero_0030,1,0
hiero_0031,1,0
hiero_0032,1,0
hiero_0033,1,0
hiero_0034,1,0
hiero_0035,1,0
hiero_0036,1,0
hiero_0037,1,0
hiero_0038,1,0
hiero_0039,1,0
hiero_0040,1,0
hiero_0041,1,0
hiero_0042,1,0
hiero_0043,1,0
hiero_0044,1,0
hiero_0045,1,0
hiero_0046,1,0
hiero_0047,1,0
hiero_0048,1,0
hiero_0049,1,0
hiero_0050,1,0
hiero_0051,1,0
hiero_0052,1,0
hiero_0053,1,0
hiero_0054,1,0
hiero_0055,1,0
hiero_0056,1,0
hiero_0057,1,0
hiero_0058,1,0
hiero_0059,1,0
hiero_0060,1,0
hiero_0061,1,0
hiero_0062,1,0
hiero_0063,1,0
hiero_0064,1,0
hiero_0065,1,0
hiero_0066,1,0
hiero_0067,1,0
hiero_0068,1,0
hiero_0069,9,36
hiero_0070,1,0
hiero_0071,1,0
hiero_0072,1,0
hiero_0073,1,0
hiero_0074,2,1
hiero_0075,1,0
hiero_0076,1,0
hiero_0077,1,0
hiero_0078,1,0
hiero_0079,1,0
hiero_0080,1,0
hiero_0081,1,0
hiero_0082,1,0
hiero_0083,1,0
hiero_0084,1,0
hiero_0085,1,0
hiero_0086,1,0
hiero_0087,1,0
hiero_0088,1,0
hiero_0089,1,0
hiero_0090,1,0
hiero_0091,1,0
hiero_0092,1,0
hiero_0093,1,0
hiero_0094,1,0
hiero_0095,1,0
hiero_0096,2,1
hiero_0097,2,1
hiero_0098,2,1
hiero_0099,1,0
hiero_0100,1,0
hiero_0101,1,0
hiero_0102,1,0
hiero_0103,1,0
hiero_0104,1,0
hiero_0105,1,0
hiero_0106,1,0
hiero_0107,1,0
hiero_0108,1,0
hiero_0109,1,0
hiero_0110,1,0
hiero_0111,1,0
hiero_0112,1,0
hiero_0113,1,0
hiero_0114,1,0
hiero_0115,1,0
hiero_0116,1,0
hiero_0117,1,0
hiero_0118,1,0
hiero_0119,3,3
hiero_0120,1,0
hiero_0121,1,0
hiero_0122,1,0
hiero_0123,1,0
hiero_0124,2,1
hiero_0125,2,1
hiero_0126,1,0
hiero_0127,1,0
hiero_0128,2,1
hiero_0129,1,0
hiero_0130,1,0
hiero_0131,1,0
hiero_0132,1,0
hiero_0133,1,0
hiero_0134,1,0
hiero_0135,1,0
hiero_0136,1,0
hiero_0137,1,0
hiero_0138,2,1
hiero_0139,1,0
hiero_0140,1,0
hiero_0141,1,0
hiero_0142,1,0
hiero_0143,2,1
hiero_0144,1,0
hiero_0145,1,0
hiero_0146,1,0
hiero_0147,1,0
hiero_0148,1,0
hiero_0149,1,0
hiero_0150,2,1
hiero_0151,2,1
hiero_0152,1,0
hiero_0153,1,0
hiero_0154,1,0
hiero_0155,1,0
hiero_0156,1,0
hiero_0157,2,1
hiero_0158,2,1
hiero_0159,2,1
hiero_0160,2,1
hiero_0161,4,6
hiero_0162,2,1
hiero_0163,2,1
hiero_0164,1,0
hiero_0165,2,1
hiero_0166,2,1
hiero_0167,2,1
hiero_0168,4,6
hiero_0169,2,1
hiero_0170,2,1
hiero_0171,2,1
hiero_0172,1,0
hiero_0173,1,0
hiero_0174,2,1
hiero_0175,3,3
hiero_0176,6,15
hiero_0177,5,10
hiero_0178,6,15
hiero_0179,7,21
hiero_0180,8,28
hiero_0181,9,36
hiero_0182,6,15
hiero_0183,2,1
hiero_0184,2,1
hiero_0185,1,0
hiero_0186,2,1
hiero_0187,1,0
hiero_0188,4,6
hiero_0189,1,0
hiero_0190,2,1
hiero_0191,2,1
hiero_0192,2,1
hiero_0193,2,1
hiero_0194,1,0
hiero_0195,3,3
hiero_0196,3,3
hiero_0197,2,1
hiero_0198,2,1
hiero_0199,1,0
hiero_0200,3,3
hiero_0201,1,0
hiero_0202,2,1
hiero_0203,3,3
hiero_0204,4,6
hiero_0205,5,10
hiero_0206,6,15
hiero_0207,7,21
hiero_0208,8,28
hiero_0209,12,66
hiero_0210,2,1
hiero_0211,2,1
hiero_0212,1,0
hiero_0213,2,1
hiero_0214,2,1
hiero_0215,1,0
hiero_0216,2,1
hiero_0217,2,1
hiero_0218,2,1
hiero_0219,2,1
hiero_0220,2,1
hiero_0221,2,1
hiero_0222,2,1
hiero_0223,2,1
hiero_0224,2,1
hiero_0225,1,0
hiero_0226,2,1
hiero_0227,3,3
hiero_0228,3,3
hiero_0229,2,1
hiero_0230,1,0
hiero_0231,1,0
hiero_0232,1,0
hiero_0233,2,1
hiero_0234,1,0
hiero_0235,1,0
hiero_0236,1,0
hiero_0237,1,0
hiero_0238,1,0
hiero_0239,4,6
hiero_0240,3,3
hiero_0241,2,1
hiero_0242,1,0
hiero_0243,1,0
hiero_0244,2,1
hiero_0245,2,1
hiero_0246,2,1
hiero_0247,1,0
hiero_0248,1,0
hiero_0249,3,3
hiero_0250,2,1
hiero_0251,3,3
hiero_0252,1,0
hiero_0253,1,0
hiero_0254,2,1
hiero_0255,2,1
hiero_0256,2,1
hiero_0257,5,10
hiero_0258,2,1
hiero_0259,2,1
hiero_0260,2,1
hiero_0261,2,1
hiero_0262,2,1
hiero_0263,1,0
hiero_0264,2,1
hiero_0265,2,1
hiero_0266,2,1
hiero_0267,1,0
hiero_0268,1,0
hiero_0269,1,0
hiero_0270,1,0
hiero_0271,1,0
hiero_0272,1,0
hiero_0273,1,0
hiero_0274,1,0
hiero_0275,1,0
hiero_0276,1,0
hiero_0277,1,0
hiero_0278,1,0
hiero_0279,1,0
hiero_0280,1,0
hiero_0281,1,0
hiero_0282,1,0
hiero_0283,1,0
hiero_0284,1,0
hiero_0285,1,0
hiero_0286,1,0
hiero_0287,1,0
hiero_0288,1,0
hiero_0289,1,0
hiero_0290,1,0
hiero_0291,1,0
hiero_0292,2,1
hiero_0293,1,0
hiero_0294,1,0
hiero_0295,1,0
hiero_0296,1,0
hiero_0297,1,0
hiero_0298,1,0
hiero_0299,1,0
hiero_0300,1,0
hiero_0301,1,0
hiero_0302,1,0
hiero_0303,1,0
hiero_0304,1,0
hiero_0305,1,0
hiero_0306,1,0
hiero_0307,1,0
hiero_0308,1,0
hiero_0309,1,0
hiero_0310,1,0
hiero_0311,1,0
hiero_0312,1,0
hiero_0313,1,0
hiero_0314,3,3
hiero_0315,1,0
hiero_0316,1,0
hiero_0317,1,0
hiero_0318,1,0
hiero_0319,1,0
hiero_0320,1,0
hiero_0321,1,0
hiero_0322,1,0
hiero_0323,1,0
hiero_0324,1,0
hiero_0325,1,0
hiero_0326,1,0
hiero_0327,1,0
hiero_0328,1,0
hiero_0329,1,0
hiero_0330,1,0
hiero_0331,1,0
hiero_0332,1,0
hiero_0333,1,0
hiero_0334,1,0
hiero_0335,1,0
hiero_0336,1,0
hiero_0337,1,0
hiero_0338,2,1
hiero_0339,2,1
hiero_0340,3,3
hiero_0341,2,1
hiero_0342,2,1
hiero_0343,2,1
hiero_0344,1,0
hiero_0345,1,0
hiero_0346,1,0
hiero_0347,1,0
hiero_0348,1,0
hiero_0349,1,0
hiero_0350,1,0
hiero_0351,2,1
hiero_0352,1,0
hiero_0353,1,0
hiero_0354,5,10
hiero_0355,1,0
hiero_0356,1,0
hiero_0357,1,0
hiero_0358,1,0
hiero_0359,1,0
hiero_0360,2,1
hiero_0361,2,1
hiero_0362,2,1
hiero_0363,2,1
hiero_0364,2,1
hiero_0365,2,1
hiero_0366,2,1
hiero_0367,2,1
hiero_0368,2,1
hiero_0369,2,1
hiero_0370,2,1
hiero_0371,3,3
hiero_0372,2,1
hiero_0373,2,1
hiero_0374,1,0
hiero_0375,2,1
hiero_0376,2,1
hiero_0377,2,1
hiero_0378,1,0
hiero_0379,3,3
hiero_0380,4,6
hiero_0381,2,1
hiero_0382,3,3
hiero_0383,2,1
hiero_0384,2,1
hiero_0385,1,0
hiero_0386,1,0
hiero_0387,1,0
hiero_0388,2,1
hiero_0389,2,1
hiero_0390,5,10
hiero_0391,1,0
hiero_0392,1,0
hiero_0393,1,0
hiero_0394,2,1
hiero_0395,1,0
hiero_0396,2,1
hiero_0397,1,0
hiero_0398,1,0
hiero_0399,6,15
hiero_0400,1,0
hiero_0401,3,3
hiero_0402,4,6
hiero_0403,1,0
hiero_0404,1,0
hiero_0405,1,0
hiero_0406,3,3
hiero_0407,2,1
hiero_0408,2,1
hiero_0409,1,0
hiero_0410,2,1
hiero_0411,1,0
hiero_0412,2,1
hiero_0413,1,0
hiero_0414,1,0
hiero_0415,3,3
hiero_0416,1,0
hiero_0417,4,6
hiero_0418,2,1
hiero_0419,1,0
hiero_0420,1,0
hiero_0421,4,6
hiero_0422,1,0
hiero_0423,1,0
hiero_0424,1,0
hiero_0425,1,0
hiero_0426,1,0
hiero_0427,1,0
hiero_0428,1,0
hiero_0429,1,0
hiero_0430,1,0
hiero_0431,1,0
hiero_0432,1,0
hiero_0433,1,0
hiero_0434,2,1
hiero_0435,1,0
hiero_0436,1,0
hiero_0437,1,0
hiero_0438,1,0
hiero_0439,3,3
hiero_0440,1,0
hiero_0441,1,0
hiero_0442,1,0
hiero_0443,1,0
hiero_0444,1,0
hiero_0445,2,1
hiero_0446,3,3
hiero_0447,4,6
hiero_0448,3,3
hiero_0449,6,15
hiero_0450,7,21
hiero_0451,8,28
hiero_0452,2,1
hiero_0453,1,0
hiero_0454,1,0
hiero_0455,1,0
hiero_0456,1,0
hiero_0457,1,0
hiero_0458,1,0
hiero_0459,1,0
