gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
A001,13000,U+13000,A1,A1,A-01-001,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,C
A002,13001,U+13001,A2,A2,A-01-027,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,C
A003,13002,U+13002,A3,A3,A-01-005,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",Classifier sitting,C
A004,13003,U+13003,A4,A4,A-01-040,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",Classifier supplication/hiding/rejection,C
A005,13004,U+13004,A5,A5,A-11-002,,,C
A005A,13005,U+13005,A5A,A5A,A-11-003,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",Logogram (to hide),C
A006,13006,U+13006,A6,A6,A-09-001,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.","Logogram (pure, clean)",C
A006A,13007,U+13007,,,A-09-011,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",Classifier to libate,C
A006B,13008,U+13008,,US1A6BEXTU,A-09-005,,,C
A007,13009,U+13009,A7,A7,A-01-036,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",Classifier sitting/weak/faint,C
A008,1300A,U+1300A,,A8,A-01-059,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier joy/veneration,C
A009,1300B,U+1300B,A9,A9,A-07-021,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.","Classifier to lift, to carry",C
A010,1300C,U+1300C,A10,A10,A-12-042,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,C
A011,1300D,U+1300D,A11,A11,A-07-041,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,C
A012,1300E,U+1300E,A12,A12,A-17-003,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),C
A013,1300F,U+1300F,A13,A13,A-18-001,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,C
A014,13010,U+13010,A14,A14,A-18-081,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",C
A014A,13011,U+13011,,A14A,A-18-074,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,C
A015,13012,U+13012,A15,A15,A-05-004,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),C
A016,13013,U+13013,A16,A16,A-04-005,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,C
A017,13014,U+13014,A17,A17,A-23-002,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,C
A017A,13015,U+13015,,A17A,A-23-007,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",Classifier youth/child,C
A018,13016,U+13016,A18,A18,A-23-030,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),C
A019,13017,U+13017,,A19,A-06-017,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.","Logogram (old, old age)",C
A020,13018,U+13018,A20,A20,A-06-009,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),C
A021,13019,U+13019,A21,A21,A-06-005,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,C
A022,1301A,U+1301A,A22,A22,A-06-037,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,C
A023,1301B,U+1301B,A23,A23,A-27-024,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,C
A024,1301C,U+1301C,A24,A24,A-16-021,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,C
A025,1301D,U+1301D,A25,A25,A-16-039,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",Classifier force/effort,C
A026,1301E,U+1301E,A26,A26,A-02-020,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",Logogram (vocative interjection),C
A027,1301F,U+1301F,A27,A27,A-02-041,"Man, running, right arm raised in front, left arm in front of the body.",Phonemogram/classifier messenger,C
A028,13020,U+13020,A28,A28,A-02-044,"Man, standing, with arms raised at either side of the body, hand palms inwards.",Logogram (to be high),C
A029,13021,U+13021,A29,A29,A-03-001,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",Classifier upside-down,C
A030,13022,U+13022,A30,A30,A-04-001,"Man, standing, both arms raised in front, hands held vertically, hand palms outwards.",Classifier adoration,C
A031,13023,U+13023,A31,A31,A-02-030,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",Classifier turning away,C
A032,13024,U+13024,A32,A32,A-19-011,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the height of the left foot, right arm in front of the body, left arm raised at the back, hand at the height of the head.",Classifier dancing,C
A032A,13025,U+13025,,,A-19-014,,,C
A033,13026,U+13026,A33,A33,A-14-011,"Man, standing, bent forwards, both arms forward, holding a stick with a bundle or a mat over his shoulders, bundle behind the back.",Classifier wandering/displaced,C
A034,13027,U+13027,A34,A34,A-12-019,"Man, standing, back slightly bent forwards, both arms forward, holding a long stick (rammer), which ends at the bottom in a mortar.","Logogram (to pound, to build)",C
A035,13028,U+13028,A35,A35,A-12-023,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",Logogram (to build),C
A036,13029,U+13029,A36,A36,A-12-008,"Man, standing, back bent forwards, both arms forwards, extending downwards into a large vessel.",Logogram (brewer),C
A037,1302A,U+1302A,A37,A37,A-12-045,"Man, standing inside a cross-section of a vessel that reaches to his shoulders, arms extended at either side of the body, holding the rim of the vessel.",Logogram (brewer),C
A038,1302B,U+1302B,A38,A38,A-21-002,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man. ",Logogram (Cusae),C
A039,1302C,U+1302C,A39,A39,A-21-001,"Man, standing on the back of two animals, which look either way, man arms extended at either side of the body, holding both heads of the animals.",Logogram (Cusae),C
A040,1302D,U+1302D,,A40,A-26-005,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig.",Classifier divinity,C
A040A,1302E,U+1302E,A40A,A40A,A-26-013,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a sceptre with a straight shaft, topped with the head of the Seth animal.",Classifier divinity,C
A041,1302F,U+1302F,A41,A41,A-26-008,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus.",Logogram (first person singular),C
A042,13030,U+13030,A42,A42,A-26-019,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45).",Classifier king,C
A042A,13031,U+13031,A42B,A42B,A-26-029,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45) and crook (S38) with the opening inwards.",Logogram (first person singular),C
