unicode_cp,unicode,kEH_AltSeq,kEH_Cat,kEH_Core,kEH_Desc,kEH_FVal,kEH_Func,kEH_HG,kEH_IFAO,kEH_JSesh,kEH_NoMirror,kEH_NoRotate,kEH_UniK
13000,U+13000,,A-01-001,C,"Man, seated, right knee raised, right arm raised, left arm in front of body.",,Classifier human being,A1,"1,1",A1,,,A001
13001,U+13001,,A-01-027,C,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",,Classifier eating/drinking/speech/ silence/thoughts/feelings,A2,"2,4",A2,,,A002
13002,U+13002,,A-01-005,C,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",ḥmsꞽ,Classifier sitting,A3,,A3,,,A003
13003,U+13003,,A-01-040,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",,Classifier supplication/hiding/rejection,A4,"2,14",A4,,,A004
13004,U+13004,,A-11-002,C,,,,A5,,A5,,,A005
13005,U+13005,,A-11-003,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",ꞽmn,Logogram (to hide),A5A,"15,3",A5A,,,A005A
13006,U+13006,,A-09-001,C,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.",wꜥb,"Logogram (pure, clean)",A6,"13,5",A6,,,A006
13007,U+13007,,A-09-011,C,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",sṯ,Classifier to libate,,"14,1",,,,A006A
13008,U+13008,,A-09-005,C,,,,,,US1A6BEXTU,,,A006B
13009,U+13009,,A-01-036,C,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",,Classifier sitting/weak/faint,A7,"2,9",A7,,,A007
1300A,U+1300A,,A-01-059,C,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",,Classifier joy/veneration,,"3,7",A8,,,A008
1300B,U+1300B,,A-07-021,C,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.",fꜣꞽ,"Classifier to lift, to carry",A9,"11,6",A9,,,A009
1300C,U+1300C,,A-12-042,C,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",sḳdꞽ,Classifier sailing/rowing,A10,,A10,,,A010
1300D,U+1300D,,A-07-041,C,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",ḫnms,Phonemogram,A11,,A11,,,A011
1300E,U+1300E,,A-17-003,C,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",mšꜥ,Logogram (army),A12,,A12,,,A012
1300F,U+1300F,,A-18-001,C,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",,Classifier rebel/enemy ,A13,"24,5",A13,,,A013
13010,U+13010,,A-18-081,C,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.",rḳ,"Classifier rebel, opponent",A14,,A14,,,A014
13011,U+13011,,A-18-074,C,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",mt,Classifier death,,"27,4",A14A,,,A014A
13012,U+13012,,A-05-004,C,"Man, written horizontally, facing down, arms raised in front.",ḫr,Logogram (to fall),A15,"7,11",A15,,,A015
13013,U+13013,,A-04-005,C,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",,Classifier bowing,A16,"6,10",A16,,,A016
13014,U+13014,,A-23-002,C,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",,Classifier youth/child,A17,"34,1",A17,,,A017
13015,U+13015,,A-23-007,C,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",,Classifier youth/child,,,A17A,,,A017A
13016,U+13016,,A-23-030,C,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",,Classifier child (royal),A18,"35,7",A18,,,A018
13017,U+13017,,A-06-017,C,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.",ꞽꜣw,"Logogram (old, old age)",,"9,7",A19,,,A019
13018,U+13018,,A-06-009,C,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",smsw,Logogram (elder),A20,"9,5",A20,,,A020
13019,U+13019,,A-06-005,C,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,,A21,"8,15",A21,,,A021
1301A,U+1301A,,A-06-037,C,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",,Classifier statue,A22,,A22,,,A022
