image_id,components,holes,euler,endpoints,junctions,skeleton_length_normalized,foreground_density,aspect_ratio,centroid_x_normalized,centroid_y_normalized
hiero_0000,1,17,-16,7,484,6.098796,0.151367,0.803571,0.511038,0.549446
hiero_0001,1,14,-13,5,491,6.264524,0.152832,0.767857,0.509859,0.552366
hiero_0002,1,17,-16,7,496,6.076699,0.151855,0.803571,0.506858,0.544438
hiero_0003,1,13,-12,10,441,5.723146,0.145264,0.75,0.494144,0.539049
hiero_0004,1,14,-13,12,398,5.888874,0.154785,0.789474,0.447161,0.439102
hiero_0005,1,21,-20,9,416,6.264524,0.158447,0.719298,0.50142,0.481799
hiero_0006,1,14,-13,12,477,6.275573,0.161377,0.75,0.503404,0.515861
hiero_0007,2,17,-15,10,498,6.67332,0.170654,0.946429,0.489494,0.571218
hiero_0008,2,22,-20,13,552,6.772757,0.172852,0.964286,0.493556,0.580045
hiero_0009,1,16,-15,11,485,6.076699,0.153564,1.035714,0.456876,0.587664
hiero_0010,1,17,-16,11,447,5.933068,0.15625,0.948276,0.524854,0.536011
hiero_0011,1,20,-19,14,434,5.756291,0.145996,0.719298,0.525528,0.553747
hiero_0012,1,12,-11,3,555,7.126311,0.182617,0.964286,0.507186,0.563294
hiero_0013,1,15,-14,11,503,6.783806,0.183105,0.9,0.492833,0.516417
hiero_0014,1,20,-19,15,597,7.789223,0.209717,0.790323,0.483757,0.559517
hiero_0015,1,11,-10,12,332,4.596194,0.13501,0.803571,0.540772,0.561652
hiero_0016,1,8,-7,4,424,5.380641,0.129395,1.230769,0.456545,0.460112
hiero_0017,1,18,-17,8,501,6.363961,0.173584,0.793103,0.517537,0.524745
hiero_0018,1,8,-7,14,365,4.739825,0.121826,1.828571,0.421812,0.434807
hiero_0019,1,12,-11,3,373,4.828213,0.12793,0.732143,0.491472,0.528536
hiero_0020,1,11,-10,9,356,4.684582,0.117188,0.732143,0.527311,0.48623
hiero_0021,1,6,-5,7,353,4.574097,0.113525,0.696429,0.507897,0.499126
hiero_0022,1,11,-10,11,327,4.331029,0.111572,0.678571,0.538464,0.50506
hiero_0023,1,7,-6,7,491,6.109845,0.149414,0.946429,0.472248,0.473652
hiero_0024,1,11,-10,12,412,5.325398,0.131836,0.767857,0.498553,0.504369
hiero_0025,1,11,-10,8,372,5.126524,0.140137,0.767857,0.488485,0.505444
hiero_0026,1,14,-13,9,431,5.701048,0.164307,0.803571,0.502438,0.542742
hiero_0027,1,13,-12,17,381,5.391689,0.148193,0.706897,0.484092,0.491943
hiero_0028,1,12,-11,1,328,4.31998,0.102783,0.625,0.538079,0.500779
hiero_0029,1,10,-9,9,347,4.62934,0.11499,0.785714,0.530255,0.480693
hiero_0030,1,12,-11,11,339,4.39732,0.10791,0.75,0.582862,0.487875
hiero_0031,1,17,-16,9,319,4.165301,0.104736,0.696429,0.531214,0.473084
hiero_0032,1,9,-8,8,306,4.231592,0.109619,0.875,0.479294,0.422745
hiero_0033,1,7,-6,15,289,4.187398,0.11084,0.642857,0.471366,0.553655
hiero_0034,1,9,-8,8,255,3.745456,0.099365,0.571429,0.535473,0.445217
hiero_0035,1,12,-11,7,260,3.745456,0.102295,0.714286,0.483704,0.441266
hiero_0036,1,16,-15,12,298,4.054815,0.110596,0.607143,0.465025,0.459506
hiero_0037,1,17,-16,7,297,4.054815,0.108643,0.625,0.514853,0.458848
hiero_0038,1,9,-8,13,337,4.441514,0.117188,0.714286,0.566048,0.459277
hiero_0039,1,10,-9,2,398,5.259107,0.124023,0.625,0.509658,0.51664
hiero_0040,1,29,-28,12,514,7.590349,0.183105,0.877193,0.524729,0.482333
hiero_0041,1,16,-15,8,477,6.209281,0.154785,0.839286,0.499606,0.54685
hiero_0042,1,13,-12,5,445,5.977262,0.154785,0.946429,0.494134,0.499162
hiero_0043,1,17,-16,3,507,6.662272,0.171387,1.053571,0.494079,0.468461
hiero_0044,1,39,-38,33,561,8.606815,0.253906,1.142857,0.502599,0.536599
hiero_0045,1,3,-2,3,227,3.436097,0.081299,0.625,0.525807,0.492305
hiero_0046,1,7,-6,4,274,4.110058,0.104004,0.678571,0.478323,0.454849
hiero_0047,1,4,-3,4,195,3.193029,0.082275,0.642857,0.5236,0.477977
hiero_0048,1,6,-5,11,253,4.154252,0.111816,0.857143,0.532649,0.458004
hiero_0049,1,6,-5,8,271,4.529903,0.124756,0.857143,0.516726,0.44545
hiero_0050,1,8,-7,3,187,3.170932,0.084473,0.589286,0.529489,0.511335
hiero_0051,1,9,-8,7,234,3.811747,0.109619,0.642857,0.486915,0.466105
hiero_0052,1,11,-10,6,249,3.889087,0.106201,0.785714,0.537464,0.504526
hiero_0053,1,11,-10,8,205,3.414,0.091064,0.578947,0.542895,0.485757
hiero_0054,1,14,-13,10,266,4.165301,0.11499,0.631579,0.502853,0.452163
hiero_0055,1,15,-14,10,270,4.187398,0.112793,0.77193,0.552252,0.484713
hiero_0056,1,5,-4,8,218,3.679165,0.09375,0.642857,0.486003,0.479655
hiero_0057,1,5,-4,3,228,3.623922,0.089355,0.642857,0.483777,0.489071
hiero_0058,1,4,-3,4,255,3.800699,0.092773,0.625,0.495354,0.482525
hiero_0059,1,14,-13,5,314,4.463612,0.111328,0.696429,0.557806,0.565138
hiero_0060,1,20,-19,11,353,5.76734,0.147705,0.714286,0.518285,0.510563
hiero_0061,1,12,-11,17,422,5.877825,0.150879,0.910714,0.514715,0.50536
hiero_0062,1,3,-2,4,132,2.264951,0.056152,0.267857,0.498913,0.429484
hiero_0063,1,3,-2,2,158,2.662699,0.062256,3.444444,0.425245,0.511887
hiero_0064,1,5,-4,8,268,4.717728,0.11792,1.465116,0.46765,0.439344
hiero_0065,1,13,-12,5,475,6.187184,0.157471,0.839286,0.508915,0.532655
hiero_0066,1,32,-31,9,315,4.607243,0.124756,0.77193,0.626468,0.504097
hiero_0067,1,10,-9,3,418,5.557417,0.135986,0.767857,0.50345,0.52996
hiero_0068,1,12,-11,3,364,4.62934,0.115234,0.910714,0.467691,0.4616
hiero_0069,9,8,1,8,387,5.192815,0.126221,0.894737,0.487639,0.450979
hiero_0070,1,10,-9,6,332,4.441514,0.115723,0.535714,0.499703,0.519317
hiero_0071,1,15,-14,9,301,4.176349,0.118652,0.535714,0.495177,0.503183
hiero_0072,1,21,-20,10,422,6.496544,0.172363,0.821429,0.497167,0.472025
hiero_0073,1,8,-7,6,389,4.850311,0.121094,1.035714,0.592994,0.543158
hiero_0074,2,2,0,9,204,3.038349,0.070068,0.428571,0.528582,0.469294
hiero_0075,1,9,-8,18,321,4.452563,0.12085,0.803571,0.539773,0.448611
hiero_0076,1,9,-8,7,313,4.408369,0.120361,0.517857,0.49962,0.520886
hiero_0077,1,14,-13,10,343,4.684582,0.118164,0.767857,0.540741,0.464521
hiero_0078,1,12,-11,4,491,6.253476,0.153809,0.767857,0.502579,0.546726
hiero_0079,1,17,-16,9,438,5.899922,0.14502,0.892857,0.449337,0.50121
hiero_0080,1,3,-2,2,220,3.347709,0.079346,0.571429,0.536875,0.496971
hiero_0081,1,13,-12,8,407,5.446932,0.138672,0.785714,0.558071,0.539888
hiero_0082,1,32,-31,19,344,4.839262,0.132568,0.660714,0.527337,0.527653
hiero_0083,1,20,-19,15,344,4.806116,0.125488,0.660714,0.529852,0.51751
hiero_0084,1,37,-36,30,413,6.264524,0.192627,0.732143,0.485563,0.572184
hiero_0085,1,10,-9,3,325,4.39732,0.110352,0.631579,0.524578,0.539616
hiero_0086,1,26,-25,14,399,6.087747,0.163574,0.678571,0.509935,0.536101
hiero_0087,1,9,-8,13,296,4.331029,0.119629,0.803571,0.528412,0.502997
hiero_0088,1,9,-8,3,370,4.761922,0.115479,0.696429,0.509283,0.525172
hiero_0089,1,9,-8,19,292,4.154252,0.113525,0.767857,0.53041,0.433233
hiero_0090,1,5,-4,8,228,3.524485,0.095215,0.625,0.537139,0.478125
hiero_0091,1,8,-7,8,219,3.56868,0.096924,0.625,0.484139,0.495828
hiero_0092,1,5,-4,4,204,3.204078,0.081055,0.571429,0.509083,0.507907
hiero_0093,1,5,-4,3,200,3.204078,0.082764,0.571429,0.480273,0.50696
hiero_0094,1,7,-6,10,212,3.535534,0.097656,0.625,0.48582,0.496445
hiero_0095,1,3,-2,3,243,3.778602,0.09082,0.625,0.495632,0.46308
hiero_0096,2,2,0,15,198,3.49134,0.107422,0.696429,0.473651,0.401456
hiero_0097,2,4,-2,24,206,3.756505,0.121094,0.75,0.4524,0.408487
hiero_0098,2,5,-3,12,148,2.916815,0.078857,0.571429,0.516738,0.507111
hiero_0099,1,8,-7,5,208,3.391903,0.087402,0.589286,0.49773,0.478701
hiero_0100,1,12,-11,22,174,3.579728,0.115479,0.714286,0.465447,0.442818
hiero_0101,1,5,-4,6,206,3.060447,0.083984,0.464286,0.540153,0.488327
hiero_0102,1,6,-5,6,173,2.894718,0.079834,0.482143,0.537796,0.51811
hiero_0103,1,8,-7,18,200,3.25932,0.092285,0.535714,0.534722,0.52786
hiero_0104,1,10,-9,11,312,4.772971,0.127441,0.75,0.466655,0.521612
hiero_0105,1,11,-10,10,253,4.31998,0.119873,0.642857,0.508624,0.461526
hiero_0106,1,8,-7,10,311,4.596194,0.122803,0.642857,0.455144,0.472416
hiero_0107,1,9,-8,16,240,4.209495,0.11084,0.642857,0.521373,0.490501
hiero_0108,1,9,-8,17,298,4.485709,0.120605,0.642857,0.449076,0.493611
hiero_0109,1,10,-9,13,214,3.557631,0.105957,0.631579,0.507452,0.474114
hiero_0110,1,10,-9,15,211,3.49134,0.101074,0.561404,0.499774,0.491395
hiero_0111,1,12,-11,5,226,3.082544,0.088379,0.446429,0.511999,0.511352
hiero_0112,1,14,-13,12,326,4.662485,0.126709,0.517857,0.518545,0.474259
hiero_0113,1,17,-16,17,502,7.026874,0.185059,0.714286,0.482582,0.477696
hiero_0114,1,13,-12,6,325,4.386272,0.122803,0.446429,0.483909,0.508574
hiero_0115,1,11,-10,13,208,3.414,0.094482,0.571429,0.516029,0.472586
hiero_0116,1,6,-5,6,244,3.502388,0.088623,0.571429,0.510288,0.482912
hiero_0117,1,13,-12,15,228,3.811747,0.107666,0.631579,0.487174,0.446499
hiero_0118,1,3,-2,8,176,2.751087,0.066406,0.970588,0.475931,0.479262
hiero_0119,3,5,-2,8,193,3.159883,0.086914,1.088235,0.483014,0.50891
hiero_0120,1,1,0,0,170,2.817379,0.063232,1.90625,0.609496,0.421211
hiero_0121,1,3,-2,1,185,2.298097,0.060059,3.5,0.485645,0.462081
hiero_0122,1,3,-2,1,192,2.474874,0.066406,3.15,0.488109,0.465361
hiero_0123,1,4,-3,1,269,3.314563,0.084473,2.52,0.489297,0.470602
hiero_0124,2,3,-1,1,278,3.391903,0.084229,2.863636,0.492029,0.5024
hiero_0125,2,4,-2,0,194,3.524485,0.085693,3.1,0.484464,0.482683
hiero_0126,1,5,-4,8,207,3.78965,0.096924,3.1,0.491263,0.496615
hiero_0127,1,4,-3,1,285,3.745456,0.094238,1.347826,0.479113,0.40119
hiero_0128,2,4,-2,7,418,5.402738,0.137451,1.207547,0.536384,0.413188
hiero_0129,1,3,-2,5,108,1.436311,0.039551,1.565217,0.525752,0.518422
hiero_0130,1,1,0,0,72,0.883883,0.019531,1.0,0.492188,0.492188
hiero_0131,1,0,1,0,92,1.115903,0.024658,5.0,0.479425,0.470452
hiero_0132,1,2,-1,2,131,1.602039,0.040283,1.818182,0.430303,0.508049
hiero_0133,1,0,1,0,143,1.679379,0.040527,1.295455,0.548569,0.580008
hiero_0134,1,1,0,0,106,1.789864,0.040527,0.290909,0.541322,0.483528
hiero_0135,1,1,0,1,205,2.850524,0.065918,1.340909,0.415567,0.536458
hiero_0136,1,23,-22,9,220,2.916815,0.084717,0.74359,0.512293,0.474108
hiero_0137,1,4,-3,2,229,3.049398,0.076416,1.147059,0.522065,0.492562
hiero_0138,2,5,-3,2,120,1.502602,0.037354,0.735294,0.479167,0.513174
hiero_0139,1,1,0,0,183,2.220757,0.052002,3.75,0.489657,0.476526
hiero_0140,1,1,0,4,175,2.375437,0.057373,2.222222,0.489894,0.418152
hiero_0141,1,1,0,5,179,2.662699,0.062744,1.5,0.484071,0.35135
hiero_0142,1,11,-10,4,204,2.894718,0.067871,3.625,0.492693,0.44194
hiero_0143,2,16,-14,8,374,5.45798,0.129395,1.567568,0.492836,0.48691
hiero_0144,1,1,0,0,142,1.878252,0.046875,0.884615,0.459066,0.360921
hiero_0145,1,2,-1,0,106,1.568893,0.035645,1.296296,0.482235,0.476027
hiero_0146,1,2,-1,0,190,2.762136,0.06543,0.867925,0.484783,0.459946
hiero_0147,1,6,-5,6,126,2.519068,0.064941,0.971429,0.476328,0.499765
hiero_0148,1,11,-10,5,190,3.86699,0.098633,0.677966,0.501779,0.426013
hiero_0149,1,15,-14,3,268,4.563048,0.108154,1.113208,0.523949,0.494392
hiero_0150,2,12,-10,6,442,5.369592,0.130859,0.631579,0.495336,0.453533
hiero_0151,2,8,-6,4,279,4.286835,0.103027,0.596491,0.481302,0.56424
hiero_0152,1,6,-5,6,379,4.574097,0.11084,0.77193,0.491671,0.468371
hiero_0153,1,5,-4,6,261,3.701262,0.103271,0.875,0.539746,0.484855
hiero_0154,1,3,-2,1,320,5.038136,0.119385,1.134615,0.502524,0.493482
hiero_0155,1,3,-2,2,355,5.049184,0.125244,1.369565,0.488487,0.505757
hiero_0156,1,1,0,4,226,2.927864,0.068848,2.56,0.493019,0.577516
hiero_0157,2,1,1,0,208,2.938913,0.065918,2.0,0.5114,0.633854
hiero_0158,2,1,1,7,306,3.822796,0.091064,1.882353,0.437081,0.599154
hiero_0159,2,0,2,1,283,3.380854,0.076416,2.0,0.516374,0.607827
hiero_0160,2,1,1,1,275,3.458194,0.080811,2.0,0.490465,0.6081
hiero_0161,4,1,3,10,302,3.679165,0.084717,1.361702,0.46033,0.5702
hiero_0162,2,0,2,5,195,2.994155,0.070068,1.72973,0.518837,0.603495
hiero_0163,2,0,2,3,180,2.773184,0.063232,1.939394,0.498733,0.615951
hiero_0164,1,1,0,9,261,3.402951,0.086426,1.72973,0.437059,0.557512
hiero_0165,2,0,2,12,252,3.314563,0.090576,1.488372,0.436405,0.595182
hiero_0166,2,0,2,8,248,3.071495,0.07666,1.422222,0.429588,0.561754
