image_id,centroid_x_normalized,centroid_y_normalized,mass_q1,mass_q2,mass_q3,mass_q4,mass_top,mass_middle,mass_bottom,mass_left,mass_center,mass_right,mass_core,mass_outer
hiero_0000,0.511038,0.549446,0.164516,0.269355,0.26129,0.304839,0.217742,0.408065,0.374194,0.18871,0.522581,0.28871,0.387097,0.612903
hiero_0001,0.509859,0.552366,0.21885,0.207668,0.271565,0.301917,0.241214,0.34984,0.408946,0.186901,0.523962,0.289137,0.337061,0.662939
hiero_0002,0.506858,0.544438,0.163987,0.271704,0.271704,0.292605,0.21865,0.40836,0.37299,0.192926,0.530547,0.276527,0.384244,0.615756
hiero_0003,0.494144,0.539049,0.215126,0.267227,0.260504,0.257143,0.267227,0.332773,0.4,0.164706,0.606723,0.228571,0.411765,0.588235
hiero_0004,0.447161,0.439102,0.421136,0.192429,0.194006,0.192429,0.40694,0.318612,0.274448,0.228707,0.660883,0.11041,0.345426,0.654574
hiero_0005,0.50142,0.481799,0.294299,0.260401,0.192604,0.252696,0.285054,0.419106,0.29584,0.160247,0.607088,0.232666,0.422188,0.577812
hiero_0006,0.503404,0.515861,0.2118,0.281392,0.24357,0.263238,0.252648,0.396369,0.350983,0.172466,0.574887,0.252648,0.364599,0.635401
hiero_0007,0.489494,0.571218,0.154506,0.178827,0.319027,0.347639,0.220315,0.304721,0.474964,0.227468,0.55794,0.214592,0.321888,0.678112
hiero_0008,0.493556,0.580045,0.163842,0.172316,0.305085,0.358757,0.217514,0.299435,0.483051,0.20339,0.588983,0.207627,0.30791,0.69209
hiero_0009,0.456876,0.587664,0.125596,0.17806,0.449921,0.246423,0.174881,0.36566,0.459459,0.300477,0.519873,0.17965,0.303657,0.696343
hiero_0010,0.524854,0.536011,0.101562,0.3625,0.357812,0.178125,0.257812,0.35,0.392188,0.167187,0.5875,0.245312,0.370312,0.629687
hiero_0011,0.525528,0.553747,0.16388,0.225753,0.270903,0.339465,0.262542,0.295987,0.441472,0.113712,0.602007,0.284281,0.337793,0.662207
hiero_0012,0.507186,0.563294,0.179144,0.221925,0.295455,0.303476,0.220588,0.351604,0.427807,0.259358,0.409091,0.331551,0.25,0.75
hiero_0013,0.492833,0.516417,0.242667,0.249333,0.238667,0.269333,0.268,0.418667,0.313333,0.249333,0.46,0.290667,0.305333,0.694667
hiero_0014,0.483757,0.559517,0.126892,0.259604,0.342258,0.271246,0.206054,0.4156,0.378347,0.295693,0.394645,0.309662,0.282887,0.717113
hiero_0015,0.540772,0.561652,0.142857,0.22604,0.23689,0.394213,0.184448,0.39783,0.417722,0.101266,0.571429,0.327306,0.392405,0.607595
hiero_0016,0.456545,0.460112,0.377358,0.171698,0.149057,0.301887,0.29434,0.522642,0.183019,0.432075,0.216981,0.350943,0.228302,0.771698
hiero_0017,0.517537,0.524745,0.240506,0.222222,0.225035,0.312236,0.264416,0.381153,0.35443,0.165963,0.54993,0.284107,0.308017,0.691983
hiero_0018,0.421812,0.434807,0.352705,0.346693,0.274549,0.026052,0.296593,0.573146,0.130261,0.496994,0.200401,0.302605,0.276553,0.723447
hiero_0019,0.491472,0.528536,0.265267,0.146947,0.267176,0.320611,0.21374,0.48855,0.29771,0.183206,0.566794,0.25,0.461832,0.538168
hiero_0020,0.527311,0.48623,0.15,0.341667,0.297917,0.210417,0.3,0.420833,0.279167,0.110417,0.583333,0.30625,0.404167,0.595833
hiero_0021,0.507897,0.499126,0.156989,0.333333,0.333333,0.176344,0.290323,0.395699,0.313978,0.15914,0.565591,0.275269,0.406452,0.593548
hiero_0022,0.538464,0.50506,0.126915,0.347921,0.273523,0.251641,0.26477,0.396061,0.339168,0.074398,0.61488,0.310722,0.483589,0.516411
hiero_0023,0.472248,0.473652,0.359477,0.236928,0.138889,0.264706,0.334967,0.361111,0.303922,0.320261,0.370915,0.308824,0.21732,0.78268
hiero_0024,0.498553,0.504369,0.255556,0.275926,0.207407,0.261111,0.274074,0.375926,0.35,0.272222,0.437037,0.290741,0.305556,0.694444
hiero_0025,0.488485,0.505444,0.219512,0.283972,0.24216,0.254355,0.236934,0.444251,0.318815,0.268293,0.472125,0.259582,0.353659,0.646341
hiero_0026,0.502438,0.542742,0.187221,0.267459,0.248143,0.297177,0.221397,0.401189,0.377415,0.254086,0.469539,0.276374,0.326895,0.673105
hiero_0027,0.484092,0.491943,0.224053,0.288303,0.250412,0.237232,0.278418,0.433278,0.288303,0.240527,0.543657,0.215815,0.354201,0.645799
hiero_0028,0.538079,0.500779,0.249406,0.32304,0.068884,0.35867,0.244656,0.418052,0.337292,0.137767,0.581948,0.280285,0.406176,0.593824
