k,silhouette,davies_bouldin,calinski_harabasz
2,0.430719,0.905057,880.190867
3,0.469871,0.722631,925.914019
4,0.364596,0.853199,914.831758
5,0.390005,0.775538,1048.833766
6,0.366426,0.814046,1072.146727
7,0.32597,0.875311,1017.16248
8,0.331332,0.859323,993.832472
9,0.337664,0.866081,960.421389
10,0.342952,0.878381,941.752134
11,0.309282,0.917617,890.555177
12,0.309526,0.927681,905.227948
13,0.310906,0.998435,862.109657
14,0.296404,0.941525,851.482303
15,0.271348,1.044609,785.71322
16,0.287113,0.978728,811.346613
17,0.29413,0.931387,779.552065
18,0.297087,0.927117,843.442556
19,0.308032,0.899536,877.832767
20,0.298607,0.954314,763.619521
21,0.295343,0.946341,722.581001
22,0.290706,0.956645,723.036907
23,0.285043,0.967666,732.054229
24,0.297405,0.937159,771.130179
25,0.287063,0.951355,709.683887
26,0.294852,0.980439,792.467908
27,0.288395,0.949753,657.48964
28,0.279611,0.952119,681.591904
29,0.272819,0.961501,715.725116
30,0.277882,0.975764,691.842019
