k,km_silhouette,hc_silhouette,gm_silhouette,ari_km_hc,ari_km_gm,ari_hc_gm
2,0.431223,0.433316,0.311737,0.475258,0.11214,-0.053996
3,0.469871,0.465889,0.379225,0.597084,0.635053,0.446288
4,0.4543,0.315799,0.300778,0.40232,0.40431,0.507374
5,0.390117,0.346212,0.332183,0.537588,0.510979,0.343234
6,0.37699,0.316174,0.335105,0.369488,0.71429,0.361558
7,0.372562,0.330533,0.27515,0.423384,0.566664,0.449972
8,0.344607,0.317071,0.270002,0.660528,0.559191,0.534193
9,0.345007,0.313943,0.260649,0.685643,0.544501,0.494425
10,0.340746,0.31453,0.261232,0.640942,0.520039,0.49919
11,0.344186,0.277359,0.258504,0.599025,0.522971,0.561239
12,0.328476,0.276961,0.254487,0.613065,0.536297,0.544788
13,0.3298,0.254099,0.239466,0.557702,0.513432,0.577236
14,0.325226,0.257209,0.254706,0.543641,0.508428,0.554034
15,0.328578,0.254115,0.262112,0.540858,0.570211,0.517296
16,0.330191,0.256413,0.242796,0.49472,0.494801,0.48116
17,0.314951,0.255344,0.260875,0.591958,0.5663,0.507066
18,0.312553,0.267454,0.251905,0.542658,0.547599,0.540741
19,0.326181,0.271198,0.241842,0.574197,0.554857,0.50959
20,0.305448,0.27204,0.232471,0.585055,0.509369,0.504859
21,0.308075,0.273813,0.211968,0.535196,0.531143,0.462571
22,0.310985,0.269029,0.211822,0.535586,0.544259,0.46718
23,0.303389,0.257396,0.207366,0.54386,0.459416,0.501166
24,0.298286,0.25939,0.202473,0.529647,0.460308,0.504222
25,0.305677,0.259086,0.197104,0.520461,0.456151,0.479397
26,0.298088,0.261409,0.208012,0.51842,0.488731,0.506897
27,0.29993,0.256263,0.190859,0.547415,0.584253,0.4792
28,0.298628,0.261125,0.191343,0.540038,0.577819,0.480727
29,0.294657,0.261288,0.18597,0.534953,0.573575,0.469618
30,0.289071,0.257961,0.206373,0.505349,0.408894,0.452543
