rank,feature,score,entropy,cv,unique_ratio,discriminative_power
1,topology.mean_component_area,0.8271845908598554,9.022349381800389,0.6896406388638947,0.5951492537313433,0.9841417910447762
2,topology.smallest_component_area,0.8162633790313261,7.61805398273099,1.0552061655503504,0.35634328358208955,0.9207089552238806
3,topology.largest_component_area,0.7699075569439022,8.510301048675235,0.6062047177642932,0.41697761194029853,0.9832089552238806
4,topology.total_foreground_area,0.7657220612216755,8.67683432480256,0.5437327458326298,0.45988805970149255,0.9916044776119403
5,topology.foreground_density,0.7657220612216755,8.67683432480256,0.5437327458326298,0.45988805970149255,0.9916044776119403
6,topology.euler_characteristic,0.6143877424710174,3.2358231077726813,2.959924923972829,0.027985074626865673,0.6399253731343284
7,topology.connected_components,0.5334469462256554,2.2621826450722167,0.9593629718489496,0.016791044776119403,0.5018656716417911
8,topology.component_density,0.5334469462256554,2.2621826450722167,0.9593629718489496,0.016791044776119403,0.5018656716417911
9,topology.hole_count,0.5061987378058961,1.9851528276706756,2.0407952161212646,0.013992537313432836,0.3777985074626866
10,topology.component_area_ratio,0.48008997845439877,5.47461496656512,0.28756060614266404,0.47294776119402987,0.5018656716417911
