image_id,cluster_id
hiero_0000,3
hiero_0001,3
hiero_0002,3
hiero_0003,3
hiero_0004,3
hiero_0005,3
hiero_0006,3
hiero_0007,3
hiero_0008,7
hiero_0009,3
hiero_0010,3
hiero_0011,3
hiero_0012,7
hiero_0013,3
hiero_0014,7
hiero_0015,6
hiero_0016,3
hiero_0017,3
hiero_0018,3
hiero_0019,6
hiero_0020,6
hiero_0021,6
hiero_0022,6
hiero_0023,3
hiero_0024,3
hiero_0025,3
hiero_0026,3
hiero_0027,3
hiero_0028,6
hiero_0029,6
hiero_0030,6
hiero_0031,6
hiero_0032,6
hiero_0033,0
hiero_0034,6
hiero_0035,6
hiero_0036,6
hiero_0037,6
hiero_0038,6
hiero_0039,3
hiero_0040,7
hiero_0041,3
hiero_0042,3
hiero_0043,3
hiero_0044,7
hiero_0045,5
hiero_0046,6
hiero_0047,5
hiero_0048,0
hiero_0049,6
hiero_0050,5
hiero_0051,5
hiero_0052,6
hiero_0053,5
hiero_0054,6
hiero_0055,6
hiero_0056,5
hiero_0057,5
hiero_0058,6
hiero_0059,6
hiero_0060,6
hiero_0061,3
hiero_0062,1
hiero_0063,5
hiero_0064,6
hiero_0065,3
hiero_0066,6
hiero_0067,3
hiero_0068,6
hiero_0069,3
hiero_0070,6
hiero_0071,6
hiero_0072,3
hiero_0073,3
hiero_0074,5
hiero_0075,0
hiero_0076,6
hiero_0077,6
hiero_0078,3
hiero_0079,3
hiero_0080,5
hiero_0081,3
hiero_0082,0
hiero_0083,6
hiero_0084,2
hiero_0085,6
hiero_0086,3
hiero_0087,6
hiero_0088,6
hiero_0089,0
hiero_0090,5
hiero_0091,5
hiero_0092,5
hiero_0093,5
hiero_0094,5
hiero_0095,5
hiero_0096,0
hiero_0097,0
hiero_0098,1
hiero_0099,5
hiero_0100,0
hiero_0101,5
hiero_0102,5
hiero_0103,0
hiero_0104,6
hiero_0105,6
hiero_0106,6
hiero_0107,0
hiero_0108,0
hiero_0109,0
hiero_0110,0
hiero_0111,5
hiero_0112,6
hiero_0113,7
hiero_0114,6
hiero_0115,0
hiero_0116,5
hiero_0117,0
hiero_0118,5
hiero_0119,5
hiero_0120,5
hiero_0121,5
hiero_0122,5
hiero_0123,6
hiero_0124,6
hiero_0125,5
hiero_0126,5
hiero_0127,6
hiero_0128,3
hiero_0129,1
hiero_0130,1
hiero_0131,1
hiero_0132,1
hiero_0133,5
hiero_0134,1
hiero_0135,5
hiero_0136,5
hiero_0137,5
hiero_0138,1
hiero_0139,5
hiero_0140,5
hiero_0141,5
hiero_0142,5
hiero_0143,3
hiero_0144,1
hiero_0145,1
hiero_0146,5
hiero_0147,1
hiero_0148,5
hiero_0149,6
hiero_0150,3
hiero_0151,6
hiero_0152,3
hiero_0153,6
hiero_0154,6
hiero_0155,6
hiero_0156,5
hiero_0157,5
hiero_0158,6
hiero_0159,6
hiero_0160,6
hiero_0161,6
hiero_0162,5
hiero_0163,5
hiero_0164,6
hiero_0165,6
hiero_0166,6
hiero_0167,5
hiero_0168,5
hiero_0169,6
hiero_0170,1
hiero_0171,6
hiero_0172,5
hiero_0173,5
hiero_0174,3
hiero_0175,7
hiero_0176,7
hiero_0177,3
hiero_0178,7
hiero_0179,7
hiero_0180,7
hiero_0181,3
hiero_0182,7
hiero_0183,1
hiero_0184,1
hiero_0185,0
hiero_0186,1
hiero_0187,6
hiero_0188,3
hiero_0189,6
hiero_0190,5
hiero_0191,6
hiero_0192,5
hiero_0193,6
hiero_0194,6
hiero_0195,3
hiero_0196,3
hiero_0197,6
hiero_0198,6
hiero_0199,5
hiero_0200,5
hiero_0201,1
hiero_0202,1
hiero_0203,5
hiero_0204,6
hiero_0205,6
hiero_0206,6
hiero_0207,6
hiero_0208,6
hiero_0209,6
hiero_0210,3
hiero_0211,3
hiero_0212,6
hiero_0213,3
hiero_0214,2
hiero_0215,7
hiero_0216,3
hiero_0217,3
hiero_0218,6
hiero_0219,6
hiero_0220,0
hiero_0221,3
hiero_0222,3
hiero_0223,6
hiero_0224,3
hiero_0225,3
hiero_0226,3
hiero_0227,3
hiero_0228,3
hiero_0229,3
hiero_0230,3
hiero_0231,0
hiero_0232,3
hiero_0233,3
hiero_0234,6
hiero_0235,3
hiero_0236,6
hiero_0237,6
hiero_0238,6
hiero_0239,0
hiero_0240,3
hiero_0241,6
hiero_0242,3
hiero_0243,2
hiero_0244,3
hiero_0245,2
hiero_0246,7
hiero_0247,3
hiero_0248,3
hiero_0249,3
hiero_0250,0
hiero_0251,0
hiero_0252,2
hiero_0253,3
hiero_0254,5
hiero_0255,5
hiero_0256,6
hiero_0257,6
hiero_0258,6
hiero_0259,5
hiero_0260,6
hiero_0261,3
hiero_0262,7
hiero_0263,5
hiero_0264,1
hiero_0265,1
hiero_0266,1
hiero_0267,6
hiero_0268,6
hiero_0269,6
hiero_0270,0
hiero_0271,5
