image_id,macro_archetype,meso_archetype,micro_archetype
hiero_0000,1,5,15
hiero_0001,1,5,15
hiero_0002,1,5,15
hiero_0003,1,6,19
hiero_0004,1,6,19
hiero_0005,1,6,19
hiero_0006,1,5,15
hiero_0007,1,5,15
hiero_0008,1,5,15
hiero_0009,1,5,15
hiero_0010,1,6,19
hiero_0011,1,6,18
hiero_0012,1,5,17
hiero_0013,1,5,15
hiero_0014,1,5,16
hiero_0015,0,3,11
hiero_0016,1,6,20
hiero_0017,1,5,15
hiero_0018,1,6,19
hiero_0019,1,6,19
hiero_0020,0,3,11
hiero_0021,0,3,11
hiero_0022,0,3,11
hiero_0023,1,5,15
hiero_0024,1,6,18
hiero_0025,0,3,11
hiero_0026,1,6,19
hiero_0027,1,6,18
hiero_0028,0,3,9
hiero_0029,0,3,11
hiero_0030,0,3,11
hiero_0031,0,3,11
hiero_0032,0,3,11
hiero_0033,0,0,0
hiero_0034,0,3,10
hiero_0035,0,3,10
hiero_0036,0,3,11
hiero_0037,0,3,11
hiero_0038,0,3,11
hiero_0039,1,6,19
hiero_0040,1,5,15
hiero_0041,1,5,15
hiero_0042,1,6,20
hiero_0043,1,5,15
hiero_0044,1,7,21
hiero_0045,0,3,10
hiero_0046,0,3,9
hiero_0047,0,1,5
hiero_0048,0,3,10
hiero_0049,0,3,10
hiero_0050,0,1,3
hiero_0051,0,3,10
hiero_0052,0,3,10
hiero_0053,0,0,1
hiero_0054,0,3,10
hiero_0055,0,3,10
hiero_0056,0,0,1
hiero_0057,0,1,5
hiero_0058,0,3,10
hiero_0059,0,3,9
hiero_0060,0,3,11
hiero_0061,1,6,18
hiero_0062,0,1,3
hiero_0063,0,1,3
hiero_0064,0,3,10
hiero_0065,1,5,15
hiero_0066,0,3,11
hiero_0067,1,6,20
hiero_0068,1,6,19
hiero_0069,0,3,11
hiero_0070,0,3,11
hiero_0071,0,3,11
hiero_0072,1,6,19
hiero_0073,1,6,19
hiero_0074,0,0,1
hiero_0075,0,0,0
hiero_0076,0,3,11
hiero_0077,0,3,11
hiero_0078,1,5,15
hiero_0079,1,6,19
hiero_0080,0,1,5
hiero_0081,1,6,19
hiero_0082,1,6,18
hiero_0083,1,6,18
hiero_0084,1,4,12
hiero_0085,0,3,9
hiero_0086,1,6,18
hiero_0087,0,3,11
hiero_0088,0,3,9
hiero_0089,0,0,0
hiero_0090,0,0,1
hiero_0091,0,0,1
hiero_0092,0,0,1
hiero_0093,0,0,1
hiero_0094,0,0,1
hiero_0095,0,3,10
hiero_0096,0,0,1
hiero_0097,0,0,0
hiero_0098,0,0,2
hiero_0099,0,1,5
hiero_0100,0,0,0
hiero_0101,0,1,5
hiero_0102,0,0,1
hiero_0103,0,0,1
hiero_0104,0,3,11
hiero_0105,0,3,10
hiero_0106,0,3,11
hiero_0107,0,0,1
hiero_0108,0,0,0
hiero_0109,0,0,1
hiero_0110,0,0,1
hiero_0111,0,1,5
hiero_0112,0,3,11
hiero_0113,1,5,15
hiero_0114,0,3,11
hiero_0115,0,0,1
hiero_0116,0,3,10
hiero_0117,0,0,1
hiero_0118,0,0,1
hiero_0119,0,0,1
hiero_0120,0,1,3
hiero_0121,0,1,3
hiero_0122,0,1,3
hiero_0123,0,3,10
hiero_0124,0,3,10
hiero_0125,0,1,3
hiero_0126,0,0,1
hiero_0127,0,3,10
hiero_0128,1,6,19
hiero_0129,0,2,6
hiero_0130,0,2,6
hiero_0131,0,1,3
hiero_0132,0,1,3
hiero_0133,0,1,3
hiero_0134,0,1,3
hiero_0135,0,1,5
