value,count
16.0,1
23.0,18
27.0,1
28.0,1
32.0,2
40.0,1
46.0,2
47.0,3
48.0,2
49.0,5
50.0,1
52.0,5
53.0,1
54.0,3
56.0,6
57.0,2
58.0,1
59.0,2
60.0,1
62.0,1
63.0,3
64.0,3
65.0,3
66.0,1
67.0,3
68.0,1
69.0,1
70.0,2
73.0,4
74.0,1
77.0,3
79.0,2
80.0,4
81.0,1
82.0,7
83.0,2
85.0,3
86.0,1
87.0,5
88.0,3
90.0,1
91.0,4
92.0,2
93.0,2
95.0,1
96.0,2
97.0,1
98.0,2
99.0,1
100.0,3
102.0,3
103.0,1
104.0,6
105.0,1
106.0,1
107.0,1
108.0,1
109.0,2
110.0,3
111.0,2
112.0,8
113.0,2
114.0,2
115.0,6
116.0,6
117.0,2
118.0,3
119.0,4
120.0,4
122.0,1
123.0,3
124.0,3
125.0,3
126.0,2
127.0,1
128.0,3
129.0,5
130.0,2
131.0,3
132.0,2
133.0,3
134.0,5
135.0,2
136.0,6
137.0,2
138.0,4
139.0,4
140.0,3
141.0,2
142.0,3
143.0,4
144.0,3
146.0,6
147.0,4
148.0,7
149.0,5
150.0,8
151.0,3
152.0,2
153.0,6
154.0,3
156.0,3
157.0,5
158.0,3
159.0,3
160.0,4
161.0,6
162.0,5
163.0,6
164.0,9
165.0,7
166.0,3
167.0,3
168.0,4
169.0,4
170.0,4
171.0,2
172.0,3
173.0,3
174.0,5
175.0,5
176.0,6
177.0,2
178.0,6
179.0,6
180.0,1
181.0,3
182.0,2
183.0,3
184.0,3
185.0,1
186.0,4
188.0,5
189.0,4
190.0,2
191.0,2
192.0,3
193.0,7
194.0,3
195.0,4
196.0,4
197.0,3
199.0,1
200.0,2
201.0,2
202.0,3
203.0,4
204.0,5
205.0,1
206.0,6
207.0,4
208.0,3
209.0,2
210.0,2
211.0,4
212.0,4
213.0,5
214.0,1
216.0,4
217.0,3
219.0,3
220.0,3
221.0,4
222.0,3
223.0,3
224.0,3
225.0,4
226.0,3
227.0,1
228.0,6
229.0,2
230.0,3
231.0,2
233.0,3
234.0,2
235.0,3
236.0,2
237.0,2
238.0,3
239.0,4
240.0,5
241.0,2
242.0,1
243.0,3
244.0,5
245.0,2
246.0,4
248.0,4
249.0,2
250.0,2
251.0,3
252.0,3
253.0,2
254.0,1
255.0,3
256.0,1
257.0,4
258.0,1
259.0,1
260.0,2
261.0,1
262.0,3
264.0,3
265.0,1
267.0,1
269.0,1
270.0,1
271.0,4
272.0,5
273.0,8
274.0,2
275.0,2
276.0,4
277.0,3
278.0,1
279.0,1
280.0,4
281.0,2
283.0,2
284.0,5
285.0,1
286.0,1
287.0,1
288.0,2
290.0,1
291.0,2
292.0,1
293.0,2
294.0,2
295.0,1
296.0,4
297.0,5
298.0,1
299.0,4
300.0,3
301.0,2
302.0,4
303.0,1
304.0,1
305.0,7
306.0,1
307.0,3
308.0,4
309.0,3
311.0,2
312.0,2
313.0,2
317.0,3
318.0,2
319.0,5
322.0,2
323.0,2
324.0,3
325.0,1
326.0,3
327.0,5
328.0,1
329.0,4
330.0,1
331.0,3
332.0,2
334.0,5
335.0,2
336.0,1
337.0,1
338.0,2
339.0,2
340.0,3
341.0,1
342.0,3
343.0,1
344.0,1
345.0,1
346.0,1
347.0,1
348.0,2
349.0,1
351.0,2
353.0,1
354.0,1
355.0,2
357.0,4
358.0,2
359.0,2
360.0,1
361.0,2
362.0,1
363.0,2
364.0,2
365.0,3
366.0,1
367.0,3
370.0,2
373.0,3
374.0,2
375.0,2
376.0,1
377.0,2
379.0,5
381.0,3
382.0,3
383.0,2
384.0,2
385.0,2
387.0,1
388.0,2
389.0,2
390.0,1
392.0,2
393.0,1
395.0,1
396.0,1
397.0,1
399.0,1
401.0,3
402.0,1
403.0,1
404.0,2
405.0,2
406.0,3
407.0,2
409.0,1
412.0,1
416.0,2
417.0,1
418.0,2
419.0,1
420.0,3
421.0,2
422.0,3
426.0,2
428.0,1
429.0,2
430.0,1
431.0,1
432.0,1
433.0,3
435.0,3
436.0,1
437.0,1
438.0,2
440.0,3
441.0,1
442.0,2
443.0,1
444.0,1
445.0,3
447.0,2
448.0,2
450.0,2
457.0,1
458.0,2
461.0,2
462.0,1
465.0,2
466.0,1
468.0,1
469.0,2
470.0,1
475.0,1
476.0,1
481.0,1
483.0,3
484.0,3
487.0,1
488.0,1
489.0,1
490.0,2
492.0,1
495.0,2
497.0,2
499.0,1
500.0,2
502.0,1
503.0,1
504.0,1
505.0,1
506.0,1
507.0,2
511.0,1
514.0,1
516.0,3
517.0,1
520.0,4
523.0,1
524.0,1
525.0,1
526.0,3
529.0,1
530.0,1
532.0,1
534.0,1
535.0,2
536.0,1
540.0,2
541.0,2
544.0,1
545.0,1
551.0,1
561.0,1
564.0,2
565.0,1
566.0,1
570.0,1
571.0,1
578.0,1
580.0,3
592.0,1
597.0,1
598.0,1
602.0,1
603.0,1
607.0,1
624.0,1
626.0,1
627.0,1
629.0,1
631.0,1
634.0,2
641.0,1
645.0,1
652.0,1
663.0,1
667.0,1
671.0,1
676.0,1
687.0,1
693.0,1
695.0,1
703.0,1
704.0,1
720.0,1
726.0,1
738.0,1
740.0,1
743.0,1
752.0,1
759.0,1
788.0,1
801.0,1
805.0,1
806.0,1
814.0,1
826.0,2
835.0,1
839.0,1
901.0,1
