value,count
9.666666666666666,1
16.0,1
18.0,1
21.15,1
23.0,17
25.0,1
25.428571428571427,1
25.714285714285715,1
27.0,1
27.565217391304348,1
27.666666666666668,1
29.2,1
30.0,1
32.0,1
32.46153846153846,1
34.0,3
34.833333333333336,1
34.857142857142854,1
35.0,1
35.666666666666664,1
36.333333333333336,1
36.75,1
37.5625,1
37.6,1
37.625,1
37.875,1
38.45454545454545,1
38.666666666666664,1
40.18181818181818,1
41.166666666666664,1
42.44444444444444,1
43.285714285714285,1
44.0,1
44.857142857142854,1
46.0,2
46.2,1
46.333333333333336,1
47.0,1
47.125,1
47.333333333333336,1
47.5,3
48.0,2
48.714285714285715,1
49.0,1
49.2,1
49.4,1
50.0,1
51.5,1
51.666666666666664,1
51.75,1
52.0,2
52.333333333333336,1
52.5,1
52.75,1
53.0,1
53.666666666666664,1
53.75,1
54.0,3
54.666666666666664,4
55.333333333333336,2
55.375,1
55.666666666666664,1
55.714285714285715,1
55.9,1
57.0,2
57.2,1
57.666666666666664,1
58.0,1
58.333333333333336,2
58.666666666666664,1
59.0,1
59.27272727272727,1
59.333333333333336,1
59.5,1
59.55555555555556,1
60.0,2
60.333333333333336,1
60.6,1
60.666666666666664,1
60.916666666666664,1
61.166666666666664,1
61.4,1
62.0,1
62.166666666666664,1
62.5,1
63.0,3
63.125,1
63.5,1
64.0,3
64.44444444444444,1
64.75,1
65.0,1
65.5,1
65.66666666666667,1
65.75,1
65.8,1
66.0,1
66.33333333333333,1
66.5,1
66.75,2
67.5,1
68.2,1
69.0,2
70.0,3
70.5,1
70.6,1
71.5,1
71.75,1
72.0,2
72.25,1
72.5,1
73.0,5
73.4,1
74.0,1
74.375,1
74.42857142857143,1
74.66666666666667,1
74.8,1
75.0,4
75.14285714285714,1
75.5,3
75.71428571428571,1
75.75,1
76.0,1
76.16666666666667,1
76.2,1
76.33333333333333,2
77.0,2
77.25,1
77.8,1
78.0,1
78.75,1
79.0,2
79.5,1
79.75,1
80.0,1
80.6,1
80.66666666666667,4
80.75,1
81.0,2
81.66666666666667,1
82.0,2
82.75,1
83.0,4
83.25,1
83.66666666666667,1
84.0,3
84.55555555555556,1
84.8,1
85.0,2
85.9090909090909,1
86.0,1
86.75,2
86.8,1
87.0,4
87.28571428571429,1
87.5,2
87.6,1
88.0,6
88.5,1
88.75,1
88.83333333333333,1
89.5,1
89.66666666666667,1
90.0,2
90.4,1
90.66666666666667,1
91.0,5
91.83333333333333,1
92.0,2
92.25,1
92.5,1
92.66666666666667,1
93.0,1
93.5,1
94.0,2
94.4,1
94.5,2
95.0,1
95.2,1
95.5,1
95.66666666666667,2
96.0,2
96.5,1
97.5,3
98.0,2
98.5,2
99.0,3
100.0,3
101.0,3
101.5,1
102.0,3
102.5,1
103.0,1
103.33333333333333,3
104.0,3
104.33333333333333,1
104.5,1
105.0,1
105.33333333333333,1
106.0,2
106.33333333333333,1
106.5,2
107.5,1
108.66666666666667,1
109.0,3
109.5,1
109.57142857142857,1
109.66666666666667,1
110.0,5
110.33333333333333,1
111.0,3
111.25,1
111.5,1
112.0,1
112.5,1
112.66666666666667,1
113.0,3
113.5,2
114.0,1
114.5,2
115.0,3
115.5,1
115.66666666666667,1
116.0,2
116.5,1
117.0,1
118.0,3
118.33333333333333,1
118.5,1
118.6,1
119.0,1
119.33333333333333,1
119.5,1
120.0,1
120.75,1
120.85714285714286,1
121.0,2
121.5,1
122.0,4
123.0,3
123.33333333333333,1
123.66666666666667,1
124.0,3
124.25,1
124.5,1
