value,count
1.0,85
2.0,52
3.0,33
4.0,35
5.0,19
6.0,13
7.0,5
8.0,11
9.0,4
10.0,5
11.0,6
12.0,3
13.0,6
14.0,3
15.0,6
16.0,5
17.0,3
18.0,3
19.0,3
20.0,2
21.0,1
22.0,3
23.0,20
24.0,1
25.0,1
26.0,4
27.0,5
28.0,3
30.0,2
31.0,1
32.0,4
36.0,1
37.0,1
38.0,4
41.0,4
42.0,3
44.0,3
45.0,1
46.0,9
48.0,7
49.0,1
50.0,2
51.0,2
52.0,1
53.0,5
54.0,7
55.0,1
56.0,1
60.0,2
61.0,2
62.0,1
63.0,3
64.0,31
65.0,4
66.0,6
67.0,4
68.0,1
69.0,5
70.0,8
71.0,3
72.0,1
73.0,3
74.0,2
75.0,2
76.0,3
77.0,3
78.0,3
79.0,1
80.0,3
81.0,3
82.0,3
83.0,3
84.0,1
85.0,2
87.0,3
88.0,2
89.0,1
90.0,2
91.0,4
92.0,1
93.0,3
95.0,1
96.0,1
98.0,2
99.0,4
100.0,4
102.0,4
104.0,2
105.0,2
106.0,3
107.0,1
108.0,1
109.0,3
110.0,3
111.0,3
113.0,3
114.0,1
115.0,3
116.0,1
117.0,1
118.0,2
119.0,1
122.0,2
123.0,2
124.0,3
125.0,4
126.0,3
127.0,1
128.0,1
129.0,2
130.0,1
131.0,1
132.0,2
133.0,3
134.0,5
135.0,2
136.0,4
137.0,1
138.0,2
139.0,3
140.0,3
142.0,3
143.0,3
144.0,2
145.0,1
146.0,3
147.0,4
148.0,4
149.0,3
150.0,6
151.0,2
152.0,6
153.0,3
154.0,2
155.0,1
156.0,2
157.0,4
158.0,3
159.0,4
160.0,2
161.0,5
162.0,5
163.0,3
164.0,2
165.0,3
166.0,3
167.0,2
168.0,3
169.0,3
170.0,4
172.0,1
173.0,2
174.0,3
175.0,4
176.0,4
177.0,1
178.0,6
179.0,6
180.0,1
181.0,2
183.0,3
184.0,1
185.0,1
186.0,3
188.0,3
189.0,4
190.0,2
191.0,2
192.0,2
193.0,4
194.0,1
195.0,3
196.0,3
197.0,3
199.0,3
200.0,1
201.0,1
202.0,2
203.0,4
204.0,3
205.0,1
206.0,2
207.0,3
208.0,1
209.0,2
211.0,2
212.0,2
213.0,4
214.0,1
217.0,2
219.0,2
220.0,2
221.0,2
222.0,2
224.0,2
225.0,3
226.0,1
228.0,4
229.0,1
230.0,1
233.0,1
234.0,2
235.0,3
236.0,1
237.0,2
238.0,1
239.0,1
240.0,3
241.0,1
243.0,1
244.0,4
245.0,1
246.0,1
248.0,3
249.0,2
250.0,1
251.0,1
252.0,1
253.0,2
255.0,2
257.0,3
259.0,1
262.0,3
264.0,1
265.0,1
267.0,1
269.0,1
271.0,1
272.0,4
273.0,5
274.0,2
276.0,3
277.0,3
278.0,1
280.0,2
281.0,2
284.0,2
286.0,1
288.0,1
290.0,1
292.0,1
293.0,2
294.0,2
295.0,1
296.0,2
297.0,4
299.0,3
300.0,3
301.0,1
302.0,1
303.0,1
305.0,3
307.0,1
308.0,3
309.0,1
311.0,1
312.0,1
313.0,1
317.0,1
318.0,1
319.0,5
322.0,2
323.0,1
326.0,2
327.0,1
328.0,1
329.0,1
331.0,2
332.0,1
334.0,3
335.0,1
336.0,1
337.0,1
338.0,1
339.0,1
340.0,2
341.0,1
342.0,1
343.0,1
346.0,1
347.0,1
353.0,1
357.0,4
358.0,1
359.0,1
360.0,1
361.0,2
362.0,1
363.0,1
364.0,1
365.0,2
367.0,1
370.0,2
373.0,1
374.0,1
375.0,2
377.0,2
379.0,3
381.0,2
382.0,2
383.0,1
385.0,2
387.0,1
388.0,1
389.0,1
390.0,1
392.0,1
393.0,1
395.0,1
396.0,1
401.0,1
402.0,1
403.0,1
404.0,1
406.0,1
407.0,1
409.0,1
412.0,1
416.0,1
417.0,1
418.0,1
419.0,1
420.0,1
421.0,1
422.0,1
431.0,1
433.0,1
435.0,1
436.0,1
438.0,1
440.0,1
445.0,1
457.0,1
465.0,1
476.0,1
481.0,1
483.0,1
484.0,1
488.0,1
489.0,1
490.0,1
492.0,1
495.0,1
500.0,1
502.0,1
504.0,1
507.0,1
511.0,1
514.0,1
516.0,1
520.0,1
526.0,1
530.0,1
534.0,1
535.0,1
541.0,1
544.0,1
545.0,1
551.0,1
561.0,1
564.0,1
565.0,1
566.0,1
570.0,1
571.0,1
580.0,1
597.0,1
627.0,1
641.0,1
645.0,1
667.0,1
676.0,1
687.0,1
693.0,1
695.0,1
738.0,1
743.0,1
788.0,1
801.0,1
826.0,1
835.0,1
901.0,1
