value,count
23.0,2
27.0,1
46.0,3
48.0,2
54.0,1
63.0,2
64.0,1
69.0,2
70.0,2
73.0,1
77.0,1
80.0,1
82.0,1
83.0,2
85.0,2
87.0,3
88.0,1
90.0,1
91.0,2
92.0,4
93.0,1
95.0,2
96.0,1
98.0,2
99.0,1
100.0,2
102.0,3
104.0,2
105.0,1
106.0,1
108.0,1
109.0,1
110.0,2
111.0,2
113.0,2
114.0,1
115.0,6
116.0,2
117.0,1
118.0,3
119.0,1
120.0,1
122.0,1
123.0,2
124.0,3
125.0,4
126.0,2
127.0,1
128.0,2
129.0,2
130.0,1
131.0,2
132.0,2
133.0,4
134.0,5
135.0,2
136.0,4
137.0,1
138.0,3
139.0,4
140.0,3
141.0,2
142.0,3
143.0,4
144.0,3
145.0,1
146.0,5
147.0,4
148.0,4
149.0,3
150.0,8
151.0,4
152.0,3
153.0,3
154.0,3
155.0,1
156.0,3
157.0,5
158.0,4
159.0,3
160.0,2
161.0,8
162.0,6
163.0,3
164.0,6
165.0,3
166.0,5
167.0,2
168.0,5
169.0,3
170.0,5
172.0,2
173.0,2
174.0,3
175.0,8
176.0,9
177.0,1
178.0,7
179.0,7
180.0,2
181.0,3
182.0,2
183.0,3
184.0,4
185.0,2
186.0,3
188.0,5
189.0,6
190.0,3
191.0,3
192.0,4
193.0,5
194.0,1
195.0,6
196.0,4
197.0,5
198.0,2
199.0,2
200.0,1
201.0,1
202.0,4
203.0,6
204.0,4
205.0,2
207.0,4
208.0,1
209.0,3
211.0,3
212.0,4
213.0,5
214.0,2
215.0,1
217.0,2
218.0,3
219.0,4
220.0,2
221.0,2
222.0,3
223.0,1
224.0,3
225.0,6
226.0,2
227.0,1
228.0,5
229.0,3
230.0,1
231.0,2
233.0,2
234.0,3
235.0,3
236.0,1
237.0,2
238.0,2
239.0,1
240.0,3
241.0,1
242.0,5
243.0,2
244.0,7
245.0,2
246.0,3
247.0,1
248.0,4
249.0,3
250.0,1
251.0,2
252.0,1
253.0,3
254.0,2
255.0,2
257.0,3
258.0,2
259.0,3
261.0,2
262.0,3
263.0,1
264.0,2
265.0,1
266.0,1
267.0,3
269.0,2
271.0,1
272.0,6
273.0,6
274.0,3
275.0,2
276.0,4
277.0,5
278.0,3
280.0,3
281.0,2
282.0,3
284.0,3
285.0,4
286.0,2
287.0,3
288.0,2
289.0,1
290.0,3
291.0,1
292.0,4
293.0,2
294.0,2
295.0,3
296.0,2
297.0,4
299.0,3
300.0,5
301.0,3
302.0,2
303.0,6
305.0,4
306.0,1
307.0,5
308.0,3
309.0,5
310.0,3
311.0,2
312.0,3
313.0,2
314.0,2
315.0,2
316.0,2
317.0,1
318.0,1
319.0,7
321.0,1
322.0,2
323.0,3
324.0,2
326.0,5
327.0,2
328.0,4
329.0,3
330.0,2
331.0,5
332.0,4
333.0,1
334.0,5
335.0,1
336.0,4
337.0,1
338.0,3
339.0,1
340.0,2
341.0,3
342.0,1
343.0,2
346.0,2
347.0,5
348.0,1
350.0,2
352.0,1
353.0,2
354.0,2
355.0,2
356.0,3
357.0,5
358.0,2
359.0,1
360.0,5
361.0,2
362.0,1
363.0,1
364.0,2
365.0,2
367.0,3
368.0,1
369.0,1
370.0,4
371.0,1
373.0,4
374.0,3
375.0,3
376.0,1
377.0,3
379.0,3
380.0,1
381.0,3
382.0,3
383.0,2
384.0,2
385.0,3
387.0,2
388.0,3
389.0,2
390.0,4
391.0,1
392.0,2
393.0,2
