rank,node_count,edge_count,endpoint_count,junction_count,average_degree,count,frequency
1,24,24,0,24,2.0,4,0.003731
2,20,18,3,17,1.8,4,0.003731
3,8,8,0,8,2.0,4,0.003731
4,28,33,0,28,2.357,3,0.002799
5,10,5,10,0,1.0,3,0.002799
6,231,451,5,226,3.905,2,0.001866
7,28,50,2,26,3.571,2,0.001866
8,149,289,2,147,3.879,2,0.001866
9,24,27,4,20,2.25,2,0.001866
10,8,6,3,5,1.5,2,0.001866
11,275,568,0,275,4.131,2,0.001866
12,2,1,2,0,1.0,2,0.001866
13,4,2,4,0,1.0,2,0.001866
14,6,3,6,0,1.0,2,0.001866
15,8,4,8,0,1.0,2,0.001866
16,12,6,12,0,1.0,2,0.001866
17,14,7,14,0,1.0,2,0.001866
18,16,8,16,0,1.0,2,0.001866
19,18,9,18,0,1.0,2,0.001866
20,491,955,7,484,3.89,1,0.000933
