rank,feature,informativeness,entropy,unique_values,cv
1,centroid_y_normalized,0.665171,9.981183,1043,0.129235
2,aspect_ratio,0.663233,8.112821,478,0.936544
3,centroid_x_normalized,0.650881,9.923949,1030,0.071514
4,euler,0.645432,4.875694,66,1.543584
5,foreground_density,0.638115,8.910037,564,0.538237
6,junctions,0.617336,8.515567,442,0.564679
7,skeleton_length_normalized,0.614637,8.698154,494,0.486033
8,endpoints,0.577828,4.465603,54,1.248961
9,holes,0.574345,4.536821,55,1.20545
10,components,0.370243,1.584919,11,0.925859
